Channel,net counts,Counts(w),Counts(wo),N=2
975,0,2,1,
976,-3,1,2,
977,1,1,0,
978,2,6,2,
979,2,2,0,
980,2,4,1,
981,3,5,1,
982,-7,1,4,
983,5,7,1,
984,3,3,0,
985,-3,3,3,
986,4,4,0,
987,0,2,1,
988,4,4,0,
989,4,4,0,
990,5,5,0,
991,3,3,0,
992,2,2,0,
993,1,1,0,
994,2,4,1,
995,-1,3,2,
996,0,2,1,
997,-3,3,3,
998,2,2,0,
999,-4,2,3,
1000,3,3,0,
1001,0,2,1,
1002,0,2,1,
1003,-3,1,2,
1004,-1,5,3,
1005,6,6,0,
1006,-3,3,3,
1007,3,5,1,
1008,4,6,1,
1009,-3,1,2,
1010,-1,1,1,
1011,0,0,0,
1012,-5,3,4,
1013,0,2,1,
1014,-7,1,4,
1015,0,2,1,
1016,-3,1,2,
1017,2,4,1,
1018,-3,1,2,
1019,3,3,0,
1020,-1,1,1,
1021,0,2,1,
1022,-3,3,3,
1023,3,3,0,
1024,2,2,0,
1025,1,3,1,
1026,-2,4,3,
1027,-1,1,1,
1028,1,3,1,
1029,2,2,0,
1030,-2,2,2,
1031,-2,2,2,
1032,4,4,0,
1033,2,2,0,
1034,0,2,1,
1035,1,3,1,
1036,-2,4,3,
1037,1,5,2,
1038,3,3,0,
1039,-5,1,3,
1040,-4,2,3,
1041,3,5,1,
1042,3,3,0,
1043,0,2,1,
1044,4,4,0,
1045,1,1,0,
1046,0,2,1,
1047,-2,2,2,
1048,6,6,0,
1049,-2,2,2,
1050,0,2,1,
1051,3,3,0,
1052,3,3,0,
1053,2,4,1,
1054,-3,1,2,
1055,0,0,0,
1056,5,5,0,
1057,1,1,0,
1058,-1,1,1,
1059,1,1,0,
1060,-5,3,4,
1061,0,2,1,
1062,-3,3,3,
1063,0,2,1,
1064,3,3,0,
1065,2,2,0,
1066,-5,1,3,
1067,-1,5,3,
1068,2,2,0,
1069,3,3,0,
1070,-2,2,2,
1071,1,3,1,
1072,-3,1,2,
1073,3,3,0,
