Channel,net counts,counts(w),counts(wo),N=1
996,2,5,3,
997,-3,5,8,
998,1,5,4,
999,-2,3,5,
1000,0,2,2,
1001,-2,3,5,
1002,-3,1,4,
1003,1,3,2,
1004,1,2,1,
1005,0,3,3,
1006,-2,0,2,
1007,4,4,0,
1008,-1,2,3,
1009,3,6,3,
1010,-7,0,7,
1011,-5,0,5,
1012,0,2,2,
1013,2,5,3,
1014,1,7,6,
1015,-2,3,5,
1016,0,2,2,
1017,0,2,2,
1018,-3,0,3,
1019,3,5,2,
1020,-8,0,8,
1021,-2,2,4,
1022,0,1,1,
1023,-1,3,4,
1024,-2,3,5,
1025,1,4,3,
1026,-1,5,6,
1027,-1,2,3,
1028,0,2,2,
1029,1,3,2,
1030,2,3,1,
1031,-2,2,4,
1032,1,3,2,
1033,0,4,4,
1034,-2,3,5,
1035,-4,0,4,
1036,0,4,4,
1037,1,4,3,
1038,0,3,3,
1039,1,3,2,
1040,-5,2,7,
1041,2,3,1,
1042,-2,4,6,
1043,-1,4,5,
1044,3,5,2,
1045,8,9,1,
1046,-3,2,5,
1047,-2,1,3,
1048,2,5,3,
1049,7,8,1,
1050,-2,5,7,
1051,3,3,0,
1052,-1,4,5,
1053,6,7,1,
1054,-3,3,6,
1055,-4,2,6,
1056,0,4,4,
1057,1,3,2,
1058,-4,2,6,
1059,4,7,3,
1060,-2,2,4,
1061,3,5,2,
1062,4,5,1,
1063,2,5,3,
1064,-3,4,7,
1065,0,3,3,
1066,2,3,1,
1067,1,4,3,
1068,3,5,2,
1069,5,6,1,
1070,1,6,5,
1071,0,4,4,
1072,6,6,0,
1073,2,5,3,
1074,0,2,2,
1075,0,4,4,
1076,-1,2,3,
1077,-1,1,2,
1078,0,3,3,
1079,1,6,5,
1080,-2,2,4,
1081,1,6,5,
1082,2,3,1,
1083,1,5,4,
1084,-2,4,6,
1085,0,3,3,
1086,4,4,0,
1087,1,3,2,
1088,0,2,2,
1089,0,3,3,
1090,-2,1,3,
1091,-1,2,3,
1092,-4,1,5,
1093,3,4,1,
1094,1,3,2,
1095,3,5,2,
1096,3,3,0,
1097,-5,2,7,
1098,-4,2,6,
1099,-2,3,5,
1100,4,7,3,
1101,-2,3,5,
1102,0,1,1,
1103,-3,2,5,
1104,-3,4,7,
1105,-3,2,5,
1106,0,5,5,
1107,2,3,1,
1108,-2,2,4,
1109,-1,1,2,
1110,4,8,4,
1111,2,5,3,
1112,-1,3,4,
1113,5,7,2,
1114,0,3,3,
1115,0,4,4,
1116,2,6,4,
1117,0,3,3,
1118,-7,1,8,
1119,-3,2,5,
1120,1,1,0,
1121,0,2,2,
1122,2,2,0,
1123,3,5,2,
1124,-1,3,4,
1125,-3,1,4,
1126,1,2,1,
1127,3,5,2,
1128,0,4,4,
1129,1,1,0,
1130,2,5,3,
1131,3,3,0,
1132,3,3,0,
1133,2,5,3,
1134,0,2,2,
1135,2,4,2,
1136,4,6,2,
1137,-4,1,5,
1138,2,4,2,
1139,3,5,2,
1140,-3,1,4,
1141,0,5,5,
1142,7,8,1,
1143,1,4,3,
1144,3,5,2,
1145,3,3,0,
1146,-3,3,6,
1147,-2,2,4,
1148,-1,1,2,
1149,1,5,4,
1150,-3,0,3,
1151,0,3,3,
1152,2,5,3,
1153,0,5,5,
1154,-2,4,6,
1155,-5,2,7,
1156,0,4,4,
1157,0,2,2,
1158,1,1,0,
1159,0,2,2,
1160,0,2,2,
1161,-1,3,4,
1162,2,2,0,
1163,2,3,1,
1164,3,3,0,
1165,0,4,4,
1166,-2,0,2,
1167,2,3,1,
1168,1,3,2,
1169,-1,2,3,
1170,2,4,2,
1171,-1,4,5,
1172,3,4,1,
1173,3,5,2,
1174,1,4,3,
1175,5,6,1,
1176,-2,3,5,
1177,-3,1,4,
1178,-4,1,5,
1179,4,6,2,
1180,1,3,2,
1181,2,3,1,
1182,-1,1,2,
1183,-3,2,5,
1184,10,10,0,
1185,3,6,3,
1186,-2,2,4,
1187,2,2,0,
1188,-1,3,4,
1189,-3,1,4,
1190,-2,3,5,
1191,-1,2,3,
1192,2,2,0,
1193,-3,3,6,
1194,0,3,3,
1195,0,4,4,
1196,2,4,2,
1197,1,3,2,
1198,-3,0,3,
1199,-1,4,5,
1200,2,4,2,
1201,-1,2,3,
1202,-3,2,5,
1203,2,5,3,
1204,-1,2,3,
1205,2,3,1,
1206,-1,2,3,
1207,-1,2,3,
1208,1,4,3,
1209,0,1,1,
1210,0,3,3,
1211,6,9,3,
1212,-2,1,3,
1213,7,8,1,
1214,0,3,3,
1215,4,5,1,
1216,2,4,2,
1217,1,7,6,
1218,-1,4,5,
1219,2,5,3,
1220,2,5,3,
1221,-6,0,6,
1222,-6,1,7,
1223,-2,3,5,
1224,-1,2,3,
1225,-1,5,6,
1226,3,7,4,
1227,3,5,2,
1228,4,5,1,
1229,-2,1,3,
1230,-1,3,4,
1231,-2,2,4,
1232,-5,0,5,
1233,3,5,2,
1234,2,4,2,
1235,-2,1,3,
1236,-3,2,5,
1237,1,4,3,
1238,0,1,1,
1239,1,4,3,
1240,-2,1,3,
1241,0,3,3,
1242,-1,1,2,
1243,-2,2,4,
1244,0,3,3,
1245,0,3,3,
1246,1,5,4,
1247,-4,6,10,
1248,-3,0,3,
1249,2,3,1,
1250,-3,0,3,
1251,-1,3,4,
1252,-2,1,3,
1253,-3,1,4,
1254,2,4,2,
1255,4,6,2,
1256,2,5,3,
1257,2,4,2,
1258,1,3,2,
1259,6,9,3,
1260,-1,4,5,
1261,1,3,2,
1262,-2,3,5,
1263,0,4,4,
1264,4,9,5,
1265,2,4,2,
1266,-1,3,4,
1267,-2,2,4,
1268,2,4,2,
1269,0,1,1,
1270,1,4,3,
1271,0,2,2,
1272,5,6,1,
1273,0,3,3,
1274,0,3,3,
1275,3,3,0,
1276,0,3,3,
1277,-2,2,4,
1278,2,4,2,
1279,3,4,1,
1280,3,6,3,
1281,-4,2,6,
1282,0,4,4,
1283,1,4,3,
1284,-2,3,5,
1285,3,6,3,
1286,4,4,0,
1287,0,1,1,
1288,2,4,2,
1289,3,9,6,
1290,1,4,3,
1291,2,4,2,
1292,-3,3,6,
1293,0,4,4,
1294,3,4,1,
1295,0,2,2,
1296,5,6,1,
1297,1,3,2,
1298,1,1,0,
1299,1,4,3,
1300,2,3,1,
1301,1,4,3,
1302,-4,1,5,
1303,0,4,4,
1304,0,1,1,
1305,2,2,0,
1306,1,4,3,
1307,2,5,3,
1308,-1,1,2,
1309,0,5,5,
1310,0,7,7,
1311,-1,2,3,
1312,4,4,0,
1313,2,4,2,
1314,-1,5,6,
1315,-1,2,3,
1316,-2,2,4,
1317,0,4,4,
1318,-1,2,3,
1319,-1,3,4,
1320,-4,2,6,
1321,1,4,3,
1322,1,4,3,
1323,1,5,4,
1324,2,5,3,
1325,2,4,2,
1326,3,6,3,
1327,1,6,5,
1328,-1,5,6,
1329,2,6,4,
1330,-4,1,5,
1331,4,4,0,
1332,-4,1,5,
1333,1,4,3,
1334,1,2,1,
1335,-4,0,4,
1336,2,4,2,
1337,2,5,3,
1338,-1,2,3,
1339,0,4,4,
1340,1,4,3,
1341,-5,1,6,
1342,-5,1,6,
1343,-1,3,4,
1344,3,4,1,
1345,-1,5,6,
1346,2,2,0,
1347,-1,4,5,
1348,1,5,4,
1349,1,2,1,
1350,2,4,2,
1351,-4,3,7,
1352,-1,1,2,
1353,0,3,3,
1354,0,3,3,
1355,5,10,5,
1356,-3,3,6,
1357,-2,2,4,
1358,-3,2,5,
1359,3,7,4,
1360,-4,2,6,
1361,3,7,4,
1362,-1,1,2,
1363,-5,2,7,
1364,-4,0,4,
1365,1,5,4,
1366,0,2,2,
1367,-3,4,7,
1368,1,4,3,
1369,-4,2,6,
1370,1,4,3,
1371,0,3,3,
1372,0,3,3,
1373,1,4,3,
1374,-3,4,7,
1375,4,5,1,
1376,0,2,2,
1377,3,5,2,
1378,-1,5,6,
1379,2,5,3,
1380,0,4,4,
1381,-3,2,5,
1382,2,4,2,
1383,-2,4,6,
1384,-1,1,2,
1385,-1,3,4,
1386,3,5,2,
1387,1,5,4,
1388,2,4,2,
1389,-2,4,6,
1390,4,6,2,
1391,0,3,3,
1392,-9,2,11,
1393,3,3,0,
1394,-5,4,9,
1395,-6,4,10,
1396,2,4,2,
1397,-3,1,4,
1398,-1,3,4,
1399,1,2,1,
1400,0,4,4,
1401,-1,4,5,
1402,5,7,2,
1403,-2,2,4,
1404,2,3,1,
1405,0,4,4,
1406,-2,1,3,
1407,2,5,3,
1408,-1,1,2,
1409,-6,1,7,
1410,2,6,4,
1411,-1,2,3,
1412,-3,0,3,
1413,-4,0,4,
1414,-3,3,6,
1415,1,2,1,
1416,3,3,0,
1417,-3,3,6,
1418,1,3,2,
1419,2,4,2,
1420,3,5,2,
1421,-3,2,5,
1422,2,4,2,
1423,0,5,5,
1424,1,1,0,
1425,-3,0,3,
1426,-3,3,6,
1427,0,2,2,
1428,3,6,3,
1429,-1,1,2,
1430,1,5,4,
1431,1,4,3,
1432,-2,1,3,
1433,0,4,4,
1434,1,5,4,
1435,-1,3,4,
1436,-4,1,5,
1437,3,3,0,
1438,-2,3,5,
1439,5,5,0,
1440,0,5,5,
1441,-7,2,9,
1442,3,4,1,
1443,4,6,2,
1444,-6,1,7,
1445,-3,1,4,
1446,-1,1,2,
1447,-2,3,5,
