Channel,net Counts,Counts(w),Counts(wo),N=1.1586
824,-26,54,69,
825,3,53,43,
826,-8,53,53,
827,-16,59,65,
828,-17,56,63,
829,-15,56,61,
830,-2,52,47,
831,-15,50,56,
832,-11,64,65,
833,-5,51,48,
834,11,55,38,
835,13,64,44,
836,6,60,47,
837,0,64,55,
838,-2,55,49,
839,-17,47,55,
840,-8,50,50,
841,-10,53,54,
842,6,57,44,
843,10,64,47,
844,18,57,34,
845,-5,55,52,
846,-32,47,68,
847,-3,69,62,
848,-1,56,49,
849,-13,47,52,
850,7,66,51,
851,-4,60,55,
852,-10,55,56,
853,-12,59,61,
854,18,66,41,
855,1,54,46,
856,2,52,43,
857,23,64,35,
858,-1,47,41,
859,-10,49,51,
860,-27,45,62,
861,-2,55,49,
862,4,48,38,
863,-12,40,45,
864,-9,47,48,
865,6,52,40,
866,-2,39,35,
867,-21,36,49,
868,3,56,46,
869,-6,42,41,
870,12,50,33,
871,-12,40,45,
872,0,32,28,
873,3,42,34,
874,-1,42,37,
875,-8,26,29,
876,0,50,43,
877,-4,33,32,
878,-11,30,35,
879,5,35,26,
880,0,35,30,
881,0,36,31,
882,-1,23,21,
883,3,30,23,
884,11,33,19,
885,-3,28,27,
886,1,25,21,
887,3,32,25,
888,-3,27,26,
889,4,25,18,
890,-10,17,23,
891,-12,12,21,
892,-9,13,19,
893,4,20,14,
894,1,21,17,
895,4,19,13,
896,5,17,10,
897,2,15,11,
898,3,20,15,
899,-9,14,20,
900,-6,6,10,
901,4,18,12,
902,-2,14,14,
903,-12,4,14,
904,1,14,11,
905,-5,8,11,
906,7,16,8,
907,4,10,5,
908,1,9,7,
909,-8,8,14,
910,-7,6,11,
911,1,10,8,
912,6,13,6,
913,-4,4,7,
914,-1,7,7,
915,-2,4,5,
916,0,5,4,
917,-1,9,9,
918,3,3,0,
919,5,8,3,
920,0,6,5,
921,6,6,0,
922,7,9,2,
923,-5,4,8,
924,2,3,1,
925,-2,5,6,
926,0,5,4,
927,2,4,2,
928,1,1,0,
929,-1,2,3,
930,0,6,5,
931,1,3,2,
932,0,3,3,
933,-1,2,3,
934,7,9,2,
935,0,2,2,
936,-1,5,5,
937,3,5,2,
938,-2,0,2,
939,-1,1,2,
940,4,5,1,
941,-1,5,5,
942,1,4,3,
943,3,5,2,
944,1,6,4,
945,2,5,3,
946,3,6,3,
947,2,3,1,
948,7,9,2,
949,2,3,1,
950,-3,2,4,
951,-3,0,3,
952,-5,2,6,
953,-1,1,2,
954,6,8,2,
955,-1,2,3,
956,-1,2,3,
957,5,8,3,
958,0,2,2,
959,-1,2,3,
960,1,2,1,
961,2,4,2,
962,-2,3,4,
963,-6,2,7,
964,0,3,3,
965,-1,5,5,
966,3,5,2,
967,2,8,5,
968,1,4,3,
969,-1,4,4,
970,2,7,4,
971,-3,0,3,
972,1,3,2,
973,-3,2,4,
974,3,3,0,
975,2,3,1,
976,1,3,2,
977,-2,1,3,
978,2,3,1,
979,-4,1,4,
980,2,3,1,
981,4,5,1,
982,-3,0,3,
983,5,5,0,
984,1,3,2,
985,0,2,2,
986,-3,3,5,
987,2,3,1,
988,-2,4,5,
989,1,2,1,
990,4,5,1,
991,0,1,1,
992,-2,3,4,
993,2,3,1,
994,0,1,1,
995,-1,1,2,
996,2,4,2,
997,3,4,1,
998,-3,2,4,
999,1,1,0,
1000,2,4,2,
1001,0,3,3,
1002,0,3,3,
1003,2,3,1,
1004,-4,1,4,
1005,5,6,1,
1006,4,5,1,
1007,-2,3,4,
1008,-2,1,3,
1009,-3,2,4,
1010,0,2,2,
1011,0,3,3,
1012,2,4,2,
1013,-1,1,2,
1014,0,3,3,
1015,-3,0,3,
1016,0,2,2,
1017,-6,2,7,
1018,3,5,2,
1019,3,4,1,
1020,2,2,0,
1021,1,3,2,
1022,1,2,1,
1023,2,5,3,
1024,-2,0,2,
1025,2,2,0,
1026,2,3,1,
1027,1,2,1,
1028,-2,1,3,
1029,-3,0,3,
1030,3,3,0,
1031,2,4,2,
1032,-4,2,5,
1033,-3,3,5,
1034,-1,1,2,
1035,-1,1,2,
1036,-6,0,5,
1037,-1,1,2,
1038,-3,0,3,
1039,1,3,2,
1040,0,0,0,
1041,1,3,2,
1042,-2,1,3,
1043,3,6,3,
1044,-1,1,2,
1045,1,1,0,
1046,0,3,3,
1047,1,2,1,
1048,2,2,0,
1049,3,4,1,
1050,1,3,2,
1051,-1,4,4,
1052,3,4,1,
1053,-1,4,4,
1054,0,3,3,
1055,0,2,2,
1056,-2,3,4,
1057,-1,1,2,
1058,0,5,4,
1059,3,6,3,
1060,-4,2,5,
1061,-1,2,3,
1062,0,2,2,
1063,3,4,1,
1064,1,4,3,
1065,-1,1,2,
1066,0,5,4,
1067,1,3,2,
1068,0,3,3,
1069,2,5,3,
1070,0,2,2,
1071,-3,2,4,
1072,5,5,0,
1073,0,2,2,
1074,2,3,1,
1075,0,2,2,
1076,-2,4,5,
1077,-2,1,3,
1078,-1,4,4,
1079,-3,3,5,
1080,-1,2,3,
1081,2,7,4,
1082,1,3,2,
1083,2,3,1,
1084,-5,1,5,
1085,0,2,2,
1086,1,1,0,
1087,-4,1,4,
1088,-3,3,5,
1089,-1,1,2,
1090,1,4,3,
1091,2,3,1,
1092,-2,1,3,
1093,0,2,2,
1094,4,4,0,
1095,2,3,1,
1096,1,4,3,
1097,1,3,2,
1098,2,3,1,
1099,2,4,2,
1100,0,2,2,
1101,-1,0,1,
1102,0,2,2,
1103,-1,1,2,
1104,4,5,1,
1105,-6,2,7,
1106,-2,6,7,
1107,1,4,3,
1108,5,5,0,
1109,2,3,1,
1110,1,3,2,
1111,-1,4,4,
1112,1,2,1,
1113,2,5,3,
1114,3,4,1,
1115,1,4,3,
1116,1,3,2,
1117,-2,3,4,
1118,-2,4,5,
1119,-2,1,3,
1120,4,5,1,
1121,2,2,0,
1122,1,3,2,
1123,-1,1,2,
1124,2,2,0,
1125,-1,1,2,
1126,1,2,1,
1127,0,2,2,
1128,2,3,1,
1129,1,3,2,
1130,-1,0,1,
1131,4,5,1,
1132,-1,0,1,
1133,2,4,2,
1134,-3,0,3,
1135,2,5,3,
1136,-2,1,3,
1137,0,1,1,
1138,-1,5,5,
1139,2,4,2,
1140,0,1,1,
1141,3,3,0,
1142,0,2,2,
1143,2,4,2,
1144,3,4,1,
1145,3,5,2,
1146,0,1,1,
